ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
FAJF,small_airport,Jagersfontain Airport,"25.433000564575195, -29.762500762939453",4714,AF,ZA,ZA-FS,Jagersfontain,FAJF,,
FAJP,small_airport,Joubertina Airport,"23.83009910583496, -33.831199645996094",2007,AF,ZA,ZA-EC,Joubertina,FAJP,,
FAJS,large_airport,OR Tambo International Airport,"28.246, -26.1392",5558,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,FAOR
FAJV,small_airport,Jansenville Airport,"24.670700073242188, -32.9390983581543",1430,AF,ZA,ZA-EC,Jansenville,FAJV,,
FAKA,small_airport,Kagga Kamma Airport,"19.56209945678711, -32.74699401855469",3494,AF,ZA,ZA-WC,Kagga Kamma Private Game Reserve,FAKA,,
FAKB,small_airport,Kosibaai Airport,"32.75, -27.03333282470703",140,AF,ZA,ZA-NL,Kosi Bay,FAKB,,
FAKD,medium_airport,P C Pelser Airport,"26.718000411987305, -26.8710994720459",4444,AF,ZA,ZA-NW,Klerksdorp,FAKD,KXE,
FAKE,small_airport,Keimouth Airport,"28.350000381469727, -32.70000076293945",222,AF,ZA,ZA-EC,Keimouth,FAKE,,
FAKF,small_airport,Koffee Bay Airport,"29.149099349975586, -31.963899612426758",10,AF,ZA,ZA-EC,Koffee Bay,FAKF,,
FAKG,small_airport,Komati Power Station Airport,"29.45560073852539, -26.093299865722656",5289,AF,ZA,ZA-MP,Komati Power Station,FAKG,,
FAKH,small_airport,Kenhardt Airport,"21.188600540161133, -29.32670021057129",2723,AF,ZA,ZA-NC,Kenhardt,FAKH,,
FAKI,small_airport,Kobb Inn Airport,"28.683467, -32.433799",147,AF,ZA,ZA-EC,Kobb Inn,FAKI,,
FAKK,small_airport,Kakamas Airport,"20.632999420166016, -28.799999237060547",2322,AF,ZA,ZA-NC,Kakamas,FAKK,,
FAKL,small_airport,Kriel Airport,"29.194700241088867, -26.251100540161133",5262,AF,ZA,ZA-MP,Kriel,FAKL,,
FAKM,medium_airport,Kimberley Airport,"24.7651996613, -28.802799224900003",3950,AF,ZA,ZA-NC,Kimberley,FAKM,KIM,
FAKN,medium_airport,Kruger Mpumalanga International Airport,"31.1056003571, -25.3831996918",2829,AF,ZA,ZA-MP,Mpumalanga,FAKN,MQP,
FAKO,small_airport,Komga Airport,"27.87579917907715, -32.59280014038086",2178,AF,ZA,ZA-EC,Komga,FAKO,,
FAKP,small_airport,Komatipoort Airport,"31.93000030517578, -25.44029998779297",541,AF,ZA,ZA-MP,Komatipoort,FAKP,KOF,
FAKR,small_airport,Krugersdorp Airport,"27.7259149551, -26.0808259199",5499,AF,ZA,ZA-GT,Krugersdorp,FAKR,,
FAKS,small_airport,Kroonstad Airport,"27.315799713134766, -27.660600662231445",4700,AF,ZA,ZA-FS,Kroonstad,FAKS,,
FAKT,small_airport,Kitty Hawk Airport,"28.4500007629, -25.860000610399997",4619,AF,ZA,ZA-GT,Boschkop,FAKT,,
FAKU,medium_airport,Johan Pienaar Airport,"23.411399841308594, -27.45669937133789",4382,AF,ZA,ZA-NC,Kuruman,FAKU,KMH,
FAKV,small_airport,Koffyfontein Min Airport,"24.98859977722168, -29.43939971923828",3996,AF,ZA,ZA-FS,Koffyfontein,FAKV,,
FAKW,small_airport,Kareedouw Airport,"24.299999237060547, -33.96666717529297",1050,AF,ZA,ZA-EC,Kareedouw,FAKW,,
FAKX,small_airport,Kenton on Sea Airport,"26.63089942932129, -33.6693000793457",172,AF,ZA,ZA-EC,Kenton On Sea,FAKX,,
FAKZ,medium_airport,Kleinsee Airport,"17.093999862700002, -29.6884002686",270,AF,ZA,ZA-NC,Kleinsee,FAKZ,KLZ,
FAL,closed,Falcon State Airport,"-99.13985, 26.5856",358,NA,US,US-TX,Roma,,FAL,
FALA,medium_airport,Lanseria Airport,"27.9260997772, -25.938499450699997",4517,AF,ZA,ZA-GT,Johannesburg,FALA,HLA,
FALB,small_airport,Ladybrand Af Airport,"27.45359992980957, -29.181100845336914",5180,AF,ZA,ZA-FS,Ladybrand,FALB,,
FALC,medium_airport,Lime Acres Finsch Mine Airport,"23.43910026550293, -28.36009979248047",4900,AF,ZA,ZA-NC,Lime Acres,FALC,LMR,
